content_id,client_id,rf_score,risk_tier,reason_code,action,seen_in_training,days_since_last_update,impressions_90d,avg_position,ctr
content_c4e9a1686a5d,client_3fdba35f04,0.7417426124970105,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,501,16.7,0.0
content_184165640010,client_3fdba35f04,0.7409186363007824,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,3967,29.9,0.08
content_366a5202d6c8,client_3fdba35f04,0.7409044198861215,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,581,15.0,0.0
content_816431f05a3b,client_3fdba35f04,0.7407371332708723,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,1922,33.4,0.0
content_956fa666a622,client_3fdba35f04,0.7404749460725804,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,179,17.2,0.0
content_fac9e8c13f4c,client_3fdba35f04,0.740460458251274,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,858,17.4,0.0
content_ac66982b9aad,client_3fdba35f04,0.7402894311127693,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,175,26.5,0.0
content_3918b29c9e8c,client_3fdba35f04,0.740266426007133,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,280,34.1,0.0
content_7250ecfc53de,client_3fdba35f04,0.7402082768496647,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,355,14.4,0.0
content_14ddbb9aeb0a,client_3fdba35f04,0.7401816234234508,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,373,32.1,0.0
content_b4f35d640b1c,client_3fdba35f04,0.7399350308385493,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,3867,27.5,0.05
content_05e445fa2143,client_3fdba35f04,0.7398832639845877,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,3712,34.5,0.05
content_dc9b1bdd6fd2,client_3fdba35f04,0.7398287604534334,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,981,18.3,0.0
content_eee58fb0c10b,client_3fdba35f04,0.7397731814939839,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,324,28.2,0.0
content_9824710082d8,client_3fdba35f04,0.7397731814939839,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,283,21.3,0.0
content_f07655587c60,client_3fdba35f04,0.7397031040493645,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,406,18.6,0.0
content_fba5eaca6a9d,client_3fdba35f04,0.7396536426098919,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,662,23.6,0.0
content_ec0a0180cc0a,client_3fdba35f04,0.7395969546492236,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,214,14.7,0.0
content_e124b9e2b959,client_3fdba35f04,0.7395791014279057,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,1984,20.1,0.1
content_21c32d354846,client_3fdba35f04,0.7394499893139361,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,1244,31.5,0.0
content_1e446b05f1c5,client_3fdba35f04,0.7394127118156071,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,685,34.0,0.0
content_3e5ea1d9ee75,client_3fdba35f04,0.7392930830074408,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,2870,22.1,0.0
content_9428850c5661,client_3fdba35f04,0.739273762469176,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,2145,27.3,0.0
content_cae546aab87e,client_3fdba35f04,0.7392181835097265,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,256,23.2,0.0
content_0361d8df96e6,client_3fdba35f04,0.7390612772032311,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,697,14.7,0.0
content_854806ef5830,client_3fdba35f04,0.7390419566649662,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,232,33.2,0.0
content_b215e2d2edc6,client_3fdba35f04,0.7390419566649662,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,469,33.9,0.0
content_4de400868b63,client_3fdba35f04,0.7390419566649662,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,529,30.1,0.0
content_0c72c3e22858,client_3fdba35f04,0.7389564515170397,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,1845,28.7,0.0
content_ffef3141126f,client_3fdba35f04,0.7388154264003703,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,187,17.6,0.0
content_6af4dbfe0470,client_3fdba35f04,0.7387546160293337,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,496,10.7,0.0
content_ad0cfc47f825,client_3fdba35f04,0.7387451261990123,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,2904,33.1,0.03
content_e66d477a3184,client_3fdba35f04,0.73872464571283,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,382,27.6,0.0
content_b74feecbc11b,client_3fdba35f04,0.73872464571283,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,296,34.5,0.0
content_bed9921d701f,client_3fdba35f04,0.73872464571283,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,249,29.4,0.0
content_345ddb5d3d57,client_3fdba35f04,0.73872464571283,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,881,26.0,0.0
content_6dbee08d40f8,client_3fdba35f04,0.7385484188680698,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,176,15.6,0.0
content_09ba9280fd44,client_3fdba35f04,0.7385484188680698,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,269,27.9,0.0
content_70f58d5042c6,client_3fdba35f04,0.7385484188680698,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,398,31.8,0.0
content_b398e033e752,client_3fdba35f04,0.7385484188680698,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,362,34.9,0.0
content_705f068125f0,client_3fdba35f04,0.7384561250266725,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,206,23.4,0.0
content_d77e888445e9,client_3fdba35f04,0.7384085723278017,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,1225,23.6,0.08
content_6ee1588e8bcb,client_3fdba35f04,0.7383677009444702,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,989,27.3,0.0
